,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
26,"Wuhan is building a new hospital that will be finished within six days, according to China's state media.",88.0,18.0,6.0,6.0,2.0,18.0,4.888888888888889,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
27,"It wants to drastically reduce visits from mainland China, where the death toll has reached 106.",81.0,16.0,4.0,4.0,2.0,16.0,5.0625,0.0,0.0,0.0,0.0,18.75,16.0,0.0,0.0
28,Authorities say two cases of infection in Guangdong were a result of human-to-human transmission.,84.0,14.0,2.0,6.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,7.142857142857142,12.0,0.0,0.0
29,There has been criticism that authorities were too slow to respond and contain the virus.,75.0,15.0,5.0,3.0,2.0,15.0,5.0,0.0,20.0,0.0,0.0,20.0,15.0,0.0,0.0
30,"The outbreak of the virus, which is from the same family as Sars, began in Wuhan in December.",76.0,18.0,2.0,6.0,2.0,18.0,4.222222222222222,0.0,0.0,0.0,0.0,11.11111111111111,14.0,0.0,0.0
31,"The virus emerged in December, two people have died and it has been detected in three countries.",80.0,17.0,6.0,4.0,2.0,17.0,4.705882352941177,0.0,16.666666666666664,0.0,0.0,11.76470588235294,15.0,0.0,0.0
32,A selection of striking news images from around the world this week.,57.0,12.0,1.0,5.0,2.0,12.0,4.75,0.0,0.0,0.0,8.333333333333332,0.0,12.0,0.0,0.0
33,Surgical masks have been used to prevent illness in China for decades.,59.0,12.0,4.0,4.0,2.0,12.0,4.916666666666667,0.0,25.0,0.0,0.0,8.333333333333332,12.0,0.0,0.0
34,"On the first day of the year of the rat, China announces more anti-coronavirus steps.",71.0,15.0,1.0,5.0,2.0,15.0,4.733333333333333,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
35,British passenger describes the journey from the virus-hit Chinese city of Wuhan after the spread of coronavirus.,97.0,17.0,1.0,7.0,2.0,17.0,5.705882352941177,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
36,"Fifteen more people have been killed by the virus in China, as the country celebrates Lunar New Year.",84.0,18.0,4.0,8.0,2.0,18.0,4.666666666666667,0.0,25.0,0.0,0.0,11.11111111111111,16.0,0.0,0.0
37,"Travel restrictions are being expanded in parts of China, as millions go home for the holidays.",80.0,16.0,4.0,7.0,2.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
38,More than 50 people have been infected with a newly discovered virus.,58.0,12.0,4.0,2.0,2.0,12.0,4.833333333333333,0.0,25.0,0.0,0.0,16.666666666666664,12.0,0.0,0.0
39,"Strategy game Plague Inc has become the bestselling app in China, eight years after its release.",81.0,16.0,3.0,7.0,2.0,16.0,5.0625,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
40,"Stocks in Asia were broadly down Thursday as the death toll from the Wuhan coronavirus jumped to 17, deepening fears across the region of a potential public health emergency.",146.0,29.0,3.0,11.0,2.0,29.0,5.0344827586206895,0.0,0.0,0.0,0.0,13.793103448275861,26.0,0.0,0.0
41,"Transport restrictions have been further tightened, with some cities suspending public transport.",86.0,12.0,4.0,4.0,2.0,12.0,7.166666666666667,0.0,25.0,0.0,0.0,0.0,12.0,0.0,0.0
42,Are airports screening arrivals? Can the virus affect anyone who has travelled to China recently?,83.0,15.0,6.0,5.0,1.0,7.5,5.533333333333333,2.0,0.0,0.0,0.0,6.666666666666667,15.0,0.0,0.0
43,The Western Pacific regional director says the country now has “stronger capacity” to deal with infectious outbreaks.,101.0,17.0,4.0,7.0,2.0,17.0,5.9411764705882355,0.0,0.0,0.0,5.88235294117647,0.0,17.0,0.0,0.0
44,The deadly Wuhan coronavirus continues to spread throughout Asia and across the world.,74.0,13.0,2.0,4.0,2.0,13.0,5.6923076923076925,0.0,0.0,0.0,0.0,7.6923076923076925,13.0,0.0,0.0
45,The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia.,109.0,23.0,5.0,7.0,2.0,23.0,4.739130434782608,0.0,0.0,0.0,0.0,13.043478260869565,23.0,0.0,0.0
